ID,SKU,Nombre,Slug,Descripción,Descripción Corta,Marca,Categoría ID,Categoría Nombre,Categoría Slug,Subcategoría,Precio Oferta (CLP),Precio Original (CLP),Descuento %,Precio Mayorista 10+ (CLP),Rating (1-5),N° Reseñas,Stock,Vendidos,Disponibilidad,Peso Kg,Certificado SEC,Garantía,Es Oferta Flash,Es B2B,Es Nuevo,Es Destacado,Es BestSeller,Tags,Specs (JSON),Specs Texto,Tier Prices (JSON),Imagen Principal,Imagen Secundaria,URL Producto,Precio Formateado
p030,P030,Lámpara Infrarroja 250W Tapa Cerámica,p030,"Lámpara Infrarroja 250W Tapa Cerámica. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Lámpara Infrarroja 250W Tapa Cerámica,Thermo,tubos-lamparas-especiales,Tubos & Lámparas Especiales,tubos-lamparas-especiales,Lámparas Infrarrojas,9990,,,8492,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":9990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":9191,""label"":""5-9 unidades""},{""minQty"":10,""price"":8492,""label"":""10+ unidades (Mayorista)""}]",/Lampara Infrarroja 250W Tapa Ceramica.png,/Lampara Infrarroja 250W Tapa Ceramica.png,/producto/p030,$9.990
p031,P031,Enchufe Smart WiFi 16A Temporizador,p031,"Enchufe Smart WiFi 16A Temporizador. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Enchufe Smart WiFi 16A Temporizador,Tuya Smart,seguridad-control-electrico,Seguridad & Control Eléctrico,seguridad-control-electrico,Interruptores & Enchufes,7990,11990,33,6792,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,SÍ,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":7990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":7351,""label"":""5-9 unidades""},{""minQty"":10,""price"":6792,""label"":""10+ unidades (Mayorista)""}]",/Enchufe Smart WiFi 16A Temporizador.png,/Enchufe Smart WiFi 16A Temporizador.png,/producto/p031,$7.990
p032,P032,Cámara Seguridad 2K IP66 Audio,p032,"Cámara Seguridad 2K IP66 Audio. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Cámara Seguridad 2K IP66 Audio,SecureCam,seguridad-control-electrico,Seguridad & Control Eléctrico,seguridad-control-electrico,Cámaras de Seguridad,23990,,,20392,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,SÍ,,{},,"[{""minQty"":1,""maxQty"":4,""price"":23990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":22071,""label"":""5-9 unidades""},{""minQty"":10,""price"":20392,""label"":""10+ unidades (Mayorista)""}]",/Camara Seguridad 2K IP66 Audio.png,/Camara Seguridad 2K IP66 Audio.png,/producto/p032,$23.990
p033,P033,Alarma Hogar 8 Zonas Inalámbrica,p033,"Alarma Hogar 8 Zonas Inalámbrica. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Alarma Hogar 8 Zonas Inalámbrica,Defender,seguridad-control-electrico,Seguridad & Control Eléctrico,seguridad-control-electrico,Alarmas & Sensores,19990,,,16992,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":19990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":18391,""label"":""5-9 unidades""},{""minQty"":10,""price"":16992,""label"":""10+ unidades (Mayorista)""}]",/Alarma Hogar 8 Zonas Inalambrica.png,/Alarma Hogar 8 Zonas Inalambrica.png,/producto/p033,$19.990
p034,P034,Crimpadora Modular RJ45/RJ11 Profesional,p034,"Crimpadora Modular RJ45/RJ11 Profesional. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Crimpadora Modular RJ45/RJ11 Profesional,ProTool,herramientas-maquinarias,Herramientas & Maquinarias,herramientas-maquinarias,Crimpadoras & Ponchadoras,12990,17990,28,11042,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,SÍ,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":12990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":11951,""label"":""5-9 unidades""},{""minQty"":10,""price"":11042,""label"":""10+ unidades (Mayorista)""}]",/Crimpadora Modular RJ45RJ11 Profesional.png,/Crimpadora Modular RJ45RJ11 Profesional.png,/producto/p034,$12.990
p035,P035,Sierra Calar 800W 6 Velocidades,p035,"Sierra Calar 800W 6 Velocidades. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Sierra Calar 800W 6 Velocidades,Bosch,herramientas-maquinarias,Herramientas & Maquinarias,herramientas-maquinarias,Sierras & Esmeriles,34990,,,29742,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":34990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":32191,""label"":""5-9 unidades""},{""minQty"":10,""price"":29742,""label"":""10+ unidades (Mayorista)""}]",/Sierra Calar 800W 6 Velocidades.png,/Sierra Calar 800W 6 Velocidades.png,/producto/p035,$34.990
p036,P036,Kit Electricista 12 Piezas Acero,p036,"Kit Electricista 12 Piezas Acero. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Kit Electricista 12 Piezas Acero,Starshop,herramientas-maquinarias,Herramientas & Maquinarias,herramientas-maquinarias,Kit Electricista Profesional,17990,24990,28,15292,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,SÍ,,{},,"[{""minQty"":1,""maxQty"":4,""price"":17990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":16551,""label"":""5-9 unidades""},{""minQty"":10,""price"":15292,""label"":""10+ unidades (Mayorista)""}]",/Kit Electricista 12 Piezas Acero.png,/Kit Electricista 12 Piezas Acero.png,/producto/p036,$17.990
p037,P037,Cautín 60W Temp Adjustable 200-480°C,p037,"Cautín 60W Temp Adjustable 200-480°C. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Cautín 60W Temp Adjustable 200-480°C,Hakko,fuentes-poder-soldadura,Fuentes de Poder & Soldadura,fuentes-poder-soldadura,Cautines & Pistolas,9990,,,8492,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":9990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":9191,""label"":""5-9 unidades""},{""minQty"":10,""price"":8492,""label"":""10+ unidades (Mayorista)""}]",/Cautin 60W Temp Adjustable 200-480C.png,/Cautin 60W Temp Adjustable 200-480C.png,/producto/p037,$9.990
p038,P038,Fuente Laboratorio 30V 5A Display Dual,p038,"Fuente Laboratorio 30V 5A Display Dual. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Fuente Laboratorio 30V 5A Display Dual,Korad,fuentes-poder-soldadura,Fuentes de Poder & Soldadura,fuentes-poder-soldadura,Fuentes de Laboratorio,32990,42990,23,28042,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,SÍ,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":32990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":30351,""label"":""5-9 unidades""},{""minQty"":10,""price"":28042,""label"":""10+ unidades (Mayorista)""}]",/Fuente Laboratorio 30V 5A Display Dual.png,/Fuente Laboratorio 30V 5A Display Dual.png,/producto/p038,$32.990
p039,P039,Inversor 1000W 12V a 220V Onda Modificada,p039,"Inversor 1000W 12V a 220V Onda Modificada. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Inversor 1000W 12V a 220V Onda Modificada,VoltMax,fuentes-poder-soldadura,Fuentes de Poder & Soldadura,fuentes-poder-soldadura,Inversores & UPS,27990,,,23792,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":27990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":25751,""label"":""5-9 unidades""},{""minQty"":10,""price"":23792,""label"":""10+ unidades (Mayorista)""}]",/Inversor 1000W 12V a 220V Onda Modificada.png,/Inversor 1000W 12V a 220V Onda Modificada.png,/producto/p039,$27.990
p040,P040,Medidor Láser 40m Precisión 2mm,p040,"Medidor Láser 40m Precisión 2mm. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Medidor Láser 40m Precisión 2mm,UNI-T,instrumentos-medicion,Instrumentos de Medición & Térmicos,instrumentos-medicion,Medidores Láser,14990,19990,25,12742,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,SÍ,,{},,"[{""minQty"":1,""maxQty"":4,""price"":14990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":13791,""label"":""5-9 unidades""},{""minQty"":10,""price"":12742,""label"":""10+ unidades (Mayorista)""}]",/Medidor Laser 40m Precisión 2mm.png,/Medidor Laser 40m Precisión 2mm.png,/producto/p040,$14.990
p041,P041,Tester Red PoE & Cable RJ45,p041,"Tester Red PoE & Cable RJ45. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Tester Red PoE & Cable RJ45,NOYAFA,instrumentos-medicion,Instrumentos de Medición & Térmicos,instrumentos-medicion,Testers de Red & Cable,11990,,,10192,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":11990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":11031,""label"":""5-9 unidades""},{""minQty"":10,""price"":10192,""label"":""10+ unidades (Mayorista)""}]",/Tester Red PoE & Cable RJ45.png,/Tester Red PoE & Cable RJ45.png,/producto/p041,$11.990
p042,P042,Pila Litio 18650 3500mAh 10A,p042,"Pila Litio 18650 3500mAh 10A. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Pila Litio 18650 3500mAh 10A,Samsung,pilas-baterias-cargadores,"Pilas, Baterías & Cargadores",pilas-baterias-cargadores,Pilas de Litio 18650/21700,3990,,,3392,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,SÍ,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":3990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":3671,""label"":""5-9 unidades""},{""minQty"":10,""price"":3392,""label"":""10+ unidades (Mayorista)""}]",/Pila Litio 18650 3500mAh 10A.png,/Pila Litio 18650 3500mAh 10A.png,/producto/p042,$3.990
p043,P043,Batería Sellada 12V 7Ah AGM,p043,"Batería Sellada 12V 7Ah AGM. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Batería Sellada 12V 7Ah AGM,Vision,pilas-baterias-cargadores,"Pilas, Baterías & Cargadores",pilas-baterias-cargadores,Baterías Selladas 12V,14990,19990,25,12742,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":14990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":13791,""label"":""5-9 unidades""},{""minQty"":10,""price"":12742,""label"":""10+ unidades (Mayorista)""}]",https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=600&h=600&fit=crop,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=600&h=600&fit=crop,/producto/p043,$14.990
p044,P044,Power Bank 20000mAh 65W PD,p044,"Power Bank 20000mAh 65W PD. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Power Bank 20000mAh 65W PD,Baseus,pilas-baterias-cargadores,"Pilas, Baterías & Cargadores",pilas-baterias-cargadores,Power Banks & Estaciones,21990,,,18692,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,SÍ,,{},,"[{""minQty"":1,""maxQty"":4,""price"":21990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":20231,""label"":""5-9 unidades""},{""minQty"":10,""price"":18692,""label"":""10+ unidades (Mayorista)""}]",/Power Bank 20000mAh 65W PD.png,/Power Bank 20000mAh 65W PD.png,/producto/p044,$21.990
p045,P045,Kit Resistencias 600pzs 1/4W,p045,"Kit Resistencias 600pzs 1/4W. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Kit Resistencias 600pzs 1/4W,ELEC,electronica-miscelaneos,Electrónica & Misceláneos,electronica-miscelaneos,Componentes Electrónicos,5990,,,5092,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":5990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":5511,""label"":""5-9 unidades""},{""minQty"":10,""price"":5092,""label"":""10+ unidades (Mayorista)""}]",/Kit Resistencias 600pzs 1-4W.png,/Kit Resistencias 600pzs 1-4W.png,/producto/p045,$5.990
p046,P046,Protoboard 830 Puntos + Cables,p046,"Protoboard 830 Puntos + Cables. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Protoboard 830 Puntos + Cables,MB,electronica-miscelaneos,Electrónica & Misceláneos,electronica-miscelaneos,Protoboard & Arduino,4990,,,4242,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":4990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":4591,""label"":""5-9 unidades""},{""minQty"":10,""price"":4242,""label"":""10+ unidades (Mayorista)""}]",/Protoboard 830 Puntos Cables.png,/Protoboard 830 Puntos Cables.png,/producto/p046,$4.990
p047,P047,Cable UTP Cat6 1m Blindado,p047,"Cable UTP Cat6 1m Blindado. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Cable UTP Cat6 1m Blindado,StarTech,electronica-miscelaneos,Electrónica & Misceláneos,electronica-miscelaneos,Cables & Conectores,3490,,,2967,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":3490,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":3211,""label"":""5-9 unidades""},{""minQty"":10,""price"":2967,""label"":""10+ unidades (Mayorista)""}]",/Cable UTP Cat6 1m Blindado.png,/Cable UTP Cat6 1m Blindado.png,/producto/p047,$3.490
p048,P048,Parlante Bluetooth 20W IPX6,p048,"Parlante Bluetooth 20W IPX6. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Parlante Bluetooth 20W IPX6,Tronsmart,electronica-miscelaneos,Electrónica & Misceláneos,electronica-miscelaneos,Audio & Parlantes,12990,17990,28,11042,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,SÍ,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":12990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":11951,""label"":""5-9 unidades""},{""minQty"":10,""price"":11042,""label"":""10+ unidades (Mayorista)""}]",/Parlante Bluetooth 20W IPX6.png,/Parlante Bluetooth 20W IPX6.png,/producto/p048,$12.990
p049,P049,Tira LED Decorativa 3m APP RGB,p049,"Tira LED Decorativa 3m APP RGB. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Tira LED Decorativa 3m APP RGB,FlexNeon,electronica-miscelaneos,Electrónica & Misceláneos,electronica-miscelaneos,Iluminación Decorativa,8990,,,7642,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":8990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":8271,""label"":""5-9 unidades""},{""minQty"":10,""price"":7642,""label"":""10+ unidades (Mayorista)""}]",/Tira LED Decorativa 3m APP RGB.png,/Tira LED Decorativa 3m APP RGB.png,/producto/p049,$8.990
